subj_idx,trial,response,rt
1,X1,1,8.946374826
1,X2,0,7.98752448
1,X3,0,7.172424577
1,X4,1,7.859799181
1,X5,1,7.580189418
1,X6,1,7.945555428
1,X7,0,8.261268151
1,X8,0,7.945555428
1,X9,1,8.379309484
1,X10,1,7.880048201
1,X11,0,8.216358332
1,X12,0,7.383368147
1,X13,1,7.963807953
1,X14,0,8.003363059
1,X15,0,7.733245647
1,X16,1,7.440146681
1,X17,1,7.010311867
1,X18,0,8.103796713
1,X19,0,7.619233416
1,X20,0,8.356319966
1,X21,0,8.242756346
1,X22,1,8.765302489
1,X23,0,7.454141078
1,X24,1,8.531687638
1,X25,0,7.590852124
1,X26,1,8.240912542
1,X27,0,7.939871576
1,X28,1,7.797702036
1,X29,0,8.178358166
1,X30,1,7.160069208
1,X31,1,7.939515261
1,X32,0,7.21303166
1,X33,0,7.483806688
1,X34,1,6.66440902
1,X35,1,6.733401892
1,X36,0,7.864804003
1,X37,1,6.796823718
1,X38,0,7.104144093
1,X39,1,6.583409222
1,X40,0,7.146772179
2,X1,1,11.27174523
2,X2,0,10.22542611
2,X3,0,10.19159453
2,X4,1,10.72698294
2,X5,1,8.620110725
2,X6,1,9.196342862
2,X7,1,7.992606652
2,X8,1,10.75888113
2,X9,1,7.687538766
2,X10,1,8.053887084
2,X11,1,10.16277015
2,X12,0,10.60154764
2,X13,0,7.976938757
2,X14,1,9.283869605
2,X15,0,7.862112212
2,X16,1,10.12498976
2,X17,1,7.332369206
2,X18,0,7.236339343
2,X19,1,8.046549357
2,X20,1,8.298788394
2,X21,1,9.708870718
2,X22,0,9.466222132
2,X23,0,8.344980369
2,X24,0,8.868694777
2,X25,0,7.793586803
2,X26,0,9.695047868
2,X27,1,7.941295571
2,X28,0,8.925454387
2,X29,0,7.895436007
2,X30,0,8.108021221
2,X31,1,7.846980982
2,X32,1,8.426830751
2,X33,0,7.6989362
2,X34,0,7.347943823
2,X35,1,7.207118856
2,X36,0,7.771067086
2,X37,1,9.133027269
2,X38,0,8.071530894
2,X39,0,8.163086376
2,X40,0,7.984462732
3,X1,0,8.522976436
3,X2,1,8.021912779
3,X3,1,8.02975852
3,X4,0,7.643482907
3,X5,0,7.662467815
3,X6,0,8.000684785
3,X7,1,7.612336837
3,X8,1,8.195057691
3,X9,0,7.862882035
3,X10,0,7.895808377
3,X11,1,8.112227958
3,X12,1,8.163656176
3,X13,1,8.28172399
3,X14,1,8.163656176
3,X15,0,7.563719668
3,X16,1,8.149890544
3,X17,0,7.841099765
3,X18,1,7.951207156
3,X19,1,8.124150603
3,X20,0,7.366445148
3,X21,1,8.57753542
3,X22,0,7.973499964
3,X23,1,7.995643604
3,X24,0,7.87207398
3,X25,0,8.231908244
3,X26,0,7.856706793
3,X27,0,7.454141078
3,X28,1,8.628913441
3,X29,1,8.040124664
3,X30,0,7.710205194
3,X31,0,7.841099765
3,X32,1,7.793174347
3,X33,1,7.486052618
3,X34,1,7.351799869
3,X35,1,7.720905252
3,X36,1,8.194781638
3,X37,1,7.973499964
3,X38,0,8.107418812
3,X39,1,8.019283793
3,X40,1,7.486052618
4,X1,0,7.996317232
4,X2,1,7.887584032
4,X3,0,7.699842407
4,X4,1,10.10438549
4,X5,0,7.822444729
4,X6,1,10.94006485
4,X7,1,7.455876687
4,X8,0,7.975220839
4,X9,1,7.699389406
4,X10,0,7.427738841
4,X11,1,7.589841512
4,X12,1,7.780720886
4,X13,1,7.926602599
4,X14,0,7.11395611
4,X15,0,6.755768922
4,X16,1,7.40731771
4,X17,1,7.836369761
4,X18,0,8.537975731
4,X19,0,7.696667082
4,X20,1,6.921658184
4,X21,1,7.820439515
4,X22,1,6.582025139
4,X23,1,7.828038032
4,X24,1,10.16423513
4,X25,0,7.895436007
4,X26,1,7.35372233
4,X27,0,7.17930797
4,X28,0,6.827629235
4,X29,0,6.858565035
4,X30,1,7.187657164
4,X31,0,7.43543802
4,X32,0,8.462948177
4,X33,1,7.286876412
4,X34,0,10.39387575
4,X35,1,7.239214974
4,X36,1,7.33823815
4,X37,0,6.632001777
4,X38,0,7.692569648
4,X39,1,7.01571242
4,X40,0,6.883462586
5,X1,1,8.722091302
5,X2,0,8.677780256
5,X3,1,8.576027977
5,X4,1,8.693999568
5,X5,0,8.662850764
5,X6,1,9.019300925
5,X7,1,8.495560891
5,X8,0,8.660254034
5,X9,1,8.442254105
5,X10,1,8.098946749
5,X11,1,8.366602833
5,X12,0,8.447628728
5,X13,0,8.747828608
5,X14,1,9.221181395
5,X15,0,7.813995675
5,X16,1,8.267192186
5,X17,1,8.210396255
5,X18,1,8.365672384
5,X19,0,8.480736654
5,X20,1,9.101529466
5,X21,0,9.157045075
5,X22,0,8.235095497
5,X23,1,8.120588712
5,X24,0,8.960210956
5,X25,0,8.185907481
5,X26,1,9.334061299
5,X27,1,8.238008249
5,X28,1,8.407155086
5,X29,1,8.402679805
5,X30,0,7.984462732
5,X31,1,9.024492605
5,X32,1,7.987184748
5,X33,1,8.878079256
5,X34,0,7.89469085
5,X35,1,8.74878099
5,X36,1,8.101980732
5,X37,0,8.234299636
5,X38,1,8.192016915
5,X39,1,8.204398418
5,X40,1,9.5139204
6,X1,1,8.490438454
6,X2,0,8.238801166
6,X3,1,7.90359629
6,X4,1,8.272826004
6,X5,0,9.790990521
6,X6,1,8.579416535
6,X7,0,7.344072851
6,X8,0,7.323830566
6,X9,0,7.145196135
6,X10,1,7.835579247
6,X11,1,8.37262974
6,X12,0,7.070724107
6,X13,0,7.268223021
6,X14,0,8.077447149
6,X15,0,8.168486417
6,X16,1,8.018954683
6,X17,1,6.661854741
6,X18,1,6.967909202
6,X19,0,7.724888439
6,X20,1,7.942006808
6,X21,1,8.307459327
6,X22,0,7.852050207
6,X23,0,8.585225602
6,X24,0,9.275940829
6,X25,1,8.826587831
6,X26,1,8.364042012
6,X27,1,8.28172399
6,X28,1,7.018401799
6,X29,0,8.175547596
6,X30,0,7.282073658
6,X31,1,7.332369206
6,X32,0,7.379008128
6,X33,0,8.348537825
6,X34,1,8.152198016
6,X35,1,7.151485464
6,X36,1,5.198497031
6,X37,0,7.693481641
6,X38,0,6.572282543
6,X39,0,7.014814351
6,X40,1,8.664405571
7,X1,1,8.252706677
7,X2,0,7.834392303
7,X3,0,8.452121195
7,X4,0,7.743703258
7,X5,0,8.300031712
7,X6,1,8.136225555
7,X7,1,7.942362238
7,X8,1,8.668711839
7,X9,1,7.731053144
7,X10,0,7.813591553
7,X11,0,8.027476531
7,X12,1,8.627302414
7,X13,0,8.033982735
7,X14,1,7.887208586
7,X15,1,7.503289631
7,X16,1,8.078998259
7,X17,1,9.30637756
7,X18,1,8.653819789
7,X19,1,8.936561205
7,X20,0,9.221478116
7,X21,1,7.347299701
7,X22,0,7.809135398
7,X23,0,8.089789176
7,X24,0,7.969011781
7,X25,1,7.440733707
7,X26,0,9.134646528
7,X27,1,7.898039691
7,X28,1,8.249836485
7,X29,0,8.324093761
7,X30,0,8.162231065
7,X31,0,8.283241441
7,X32,1,7.604396349
7,X33,1,7.568379268
7,X34,1,7.834788107
7,X35,0,7.827639546
7,X36,1,8.305236829
7,X37,1,7.840312983
7,X38,1,8.443115988
7,X39,1,5.384495063
7,X40,0,7.719129841
8,X1,1,9.008101781
8,X2,1,8.177796683
8,X3,0,9.366232392
8,X4,0,8.461046031
8,X5,0,7.871311203
8,X6,0,8.271548375
8,X7,0,8.791486027
8,X8,0,8.702011628
8,X9,0,9.384629757
8,X10,0,8.309430742
8,X11,0,8.873047799
8,X12,0,7.699389406
8,X13,1,9.44129335
8,X14,1,8.843470782
8,X15,0,9.187481078
8,X16,0,8.55101474
8,X17,0,8.56902634
8,X18,1,8.569975377
8,X19,0,8.221210094
8,X20,1,8.709795058
8,X21,0,8.832003931
8,X22,1,9.072686207
8,X23,0,7.906915489
8,X24,0,9.21949831
8,X25,0,7.890208213
8,X26,0,8.128290172
8,X27,1,9.323669057
8,X28,0,10.34322525
8,X29,1,8.669055541
8,X30,0,8.269756948
8,X31,0,9.707168486
8,X32,0,8.264620829
8,X33,0,8.395477433
8,X34,1,9.253016646
8,X35,0,8.165363632
8,X36,0,8.605936401
8,X37,1,8.780633799
8,X38,0,8.744169389
8,X39,1,8.648221454
8,X40,1,11.08175786
9,X1,1,9.011767475
9,X2,1,8.555259392
9,X3,1,8.245384468
9,X4,0,8.822469572
9,X5,0,8.467792841
9,X6,1,8.425077903
9,X7,1,8.01763716
9,X8,0,8.069968149
9,X9,1,8.217438538
9,X10,0,8.094683649
9,X11,0,8.382747095
9,X12,1,7.956126351
9,X13,0,8.450625947
9,X14,1,7.761319181
9,X15,1,7.670894831
9,X16,0,7.645875825
9,X17,1,8.52337405
9,X18,1,7.489970899
9,X19,0,7.682021511
9,X20,1,8.472614148
9,X21,0,8.226573475
9,X22,1,8.082402254
9,X23,1,8.085178748
9,X24,0,9.196342862
9,X25,0,8.293299359
9,X26,0,8.129469765
9,X27,0,8.210939733
9,X28,1,7.803026644
9,X29,0,8.242756346
9,X30,0,7.97074039
9,X31,0,7.888334501
9,X32,0,7.446001498
9,X33,1,8.029432841
9,X34,0,8.005700679
9,X35,0,8.191463051
9,X36,1,8.053569169
9,X37,0,8.530109417
9,X38,0,7.792761721
9,X39,1,7.793174347
9,X40,1,8.082402254
10,X1,0,9.363061459
10,X2,0,8.063692634
10,X3,1,9.197964101
10,X4,0,8.421783007
10,X5,0,8.001355026
10,X6,1,8.785845338
10,X7,0,9.016998312
10,X8,0,8.561401446
10,X9,0,10.26958794
10,X10,0,9.466067273
10,X11,0,8.920522687
10,X12,0,8.574140472
10,X13,1,8.639410824
10,X14,1,8.072779333
10,X15,1,8.303504799
10,X16,1,8.422882512
10,X17,0,8.355379895
10,X18,1,8.602085658
10,X19,1,8.065893547
10,X20,0,9.127719343
10,X21,0,8.148445666
10,X22,0,9.412709624
10,X23,0,8.37609035
10,X24,1,8.13123655
10,X25,0,7.824845691
10,X26,0,8.74017673
10,X27,0,7.841885929
10,X28,1,7.993619995
10,X29,0,7.862112212
10,X30,1,8.367300102
10,X31,0,8.206856428
10,X32,1,8.259716961
10,X33,0,8.666474894
10,X34,0,8.178077464
10,X35,0,8.230577217
10,X36,0,8.074960359
10,X37,1,8.639233817
10,X38,0,8.124446856
10,X39,0,8.795582217
10,X40,0,8.323365694
11,X1,0,9.310095205
11,X2,1,8.520587424
11,X3,0,8.487764381
11,X4,1,8.557759153
11,X5,0,8.083637203
11,X6,1,8.513787398
11,X7,1,8.419580363
11,X8,1,8.342839804
11,X9,0,8.612321537
11,X10,0,8.691146499
11,X11,1,8.715224042
11,X12,0,8.900139988
11,X13,0,8.669570872
11,X14,0,8.628018747
11,X15,0,8.989569005
11,X16,0,8.593227878
11,X17,0,8.553717966
11,X18,0,8.501063809
11,X19,0,8.061802275
11,X20,1,8.461257559
11,X21,1,8.656433259
11,X22,0,8.545586266
11,X23,1,8.805824813
11,X24,0,8.616133139
11,X25,0,8.583542572
11,X26,0,8.625150333
11,X27,0,8.848078421
11,X28,0,7.952263309
11,X29,1,8.9692874
11,X30,1,8.30498958
11,X31,1,8.746239288
11,X32,1,8.388905171
11,X33,0,8.51559191
11,X34,1,8.862341964
11,X35,0,8.762802487
11,X36,0,8.705662479
11,X37,0,8.187855444
11,X38,1,8.594339401
11,X39,1,8.986446539
11,X40,0,7.651595574
12,X1,0,8.461680481
12,X2,1,8.736971085
12,X3,0,8.377931124
12,X4,1,8.36683531
12,X5,1,8.194781638
12,X6,1,8.005700679
12,X7,1,8.179199798
12,X8,1,8.307212627
12,X9,0,7.734121303
12,X10,0,8.117312462
12,X11,0,7.694848072
12,X12,0,8.29953457
12,X13,1,8.756210092
12,X14,1,8.417593826
12,X15,1,7.286876412
12,X16,0,7.419979924
12,X17,0,8.342125263
12,X18,0,8.621553207
12,X19,0,8.161089513
12,X20,1,7.334981879
12,X21,1,7.913521017
12,X22,1,7.554334824
12,X23,0,7.207859871
12,X24,1,7.425357887
12,X25,1,7.81197343
12,X26,1,8.114324709
12,X27,0,7.709756864
12,X28,1,7.709308333
12,X29,0,7.471932078
12,X30,0,7.471932078
12,X31,1,7.74109909
12,X32,0,8.976767625
12,X33,0,7.771910256
12,X34,0,7.871311203
12,X35,1,7.72753511
12,X36,0,8.034631033
12,X37,0,8.490849216
12,X38,1,7.824445931
12,X39,1,7.298445102
12,X40,0,7.351158226
13,X1,1,9.235325625
13,X2,0,8.222553638
13,X3,1,8.597851094
13,X4,0,8.267192186
13,X5,1,7.880426344
13,X6,0,8.83025057
13,X7,1,8.484049973
13,X8,0,8.29154651
13,X9,0,8.256607345
13,X10,1,7.591861715
13,X11,0,8.348064228
13,X12,0,7.493873887
13,X13,1,8.25244609
13,X14,1,8.013343181
13,X15,0,7.907283609
13,X16,0,7.081708586
13,X17,1,7.242797923
13,X18,0,8.229244417
13,X19,1,7.805474625
13,X20,0,8.424419791
13,X21,1,7.77569575
13,X22,0,8.412054873
13,X23,0,7.878155337
13,X24,0,8.834628222
13,X25,0,8.527737405
13,X26,0,9.530755814
13,X27,0,8.625688788
13,X28,1,7.646831391
13,X29,0,7.43543802
13,X30,0,8.326758815
13,X31,1,8.973858256
13,X32,0,8.153637486
13,X33,0,8.986696696
13,X34,0,8.71078434
13,X35,1,5.572154032
13,X36,1,7.724004657
13,X37,0,8.178919333
13,X38,0,8.561975334
13,X39,1,7.827639546
13,X40,1,8.185907481
14,X1,0,9.327234123
14,X2,0,8.047189562
14,X3,0,8.820847033
14,X4,0,9.252249775
14,X5,0,8.244859396
14,X6,0,9.174816816
14,X7,1,8.215547412
14,X8,1,8.119100838
14,X9,0,8.784468454
14,X10,1,8.495152061
14,X11,1,8.082711134
14,X12,1,8.004699511
14,X13,0,8.736489351
14,X14,1,7.824845691
14,X15,0,9.204121072
14,X16,1,8.763740721
14,X17,1,8.256088134
14,X18,1,8.041091004
14,X19,0,8.206583614
14,X20,1,8.568646473
14,X21,1,7.555381944
14,X22,0,8.472614148
14,X23,0,8.602636673
14,X24,1,8.381602537
14,X25,0,8.65608519
14,X26,1,7.562681247
14,X27,1,9.218407743
14,X28,1,7.659642955
14,X29,1,7.921898411
14,X30,1,8.534050308
14,X31,1,7.143617603
14,X32,1,8.322880022
14,X33,0,8.06117136
14,X34,1,9.991223667
14,X35,1,9.296976679
14,X36,1,8.110126802
14,X37,0,7.852050207
14,X38,1,7.484930283
14,X39,0,7.925157512
14,X40,0,7.318539549
15,X1,1,8.206856428
15,X2,0,7.870547845
15,X3,1,7.845416037
15,X4,0,7.544861069
15,X5,0,7.44775128
15,X6,1,8.050384453
15,X7,0,8.445052514
15,X8,1,8.286017468
