subj_idx,trial,response,rt
126,X1,0,8.402231173
126,X2,1,8.760766624
126,X3,0,8.76561455
126,X4,1,7.941295571
126,X5,1,8.663714844
126,X6,0,8.538758969
126,X7,1,9.067854724
126,X8,0,7.993282328
126,X9,1,8.169336396
126,X10,1,8.442900587
126,X11,1,8.765770544
126,X12,1,9.210240367
126,X13,0,8.320204598
126,X14,1,8.283494126
126,X15,0,7.892452044
126,X16,0,8.105307516
126,X17,1,7.947678571
126,X18,0,8.037866235
126,X19,0,8.588583188
126,X20,1,8.477204183
126,X21,1,8.360539381
126,X22,0,8.48115142
126,X23,1,8.605020902
126,X24,1,8.686091728
126,X25,0,8.43771699
126,X26,1,8.796338933
126,X27,0,8.046229101
126,X28,1,7.813995675
126,X29,1,8.408270784
126,X30,1,8.394799543
126,X31,0,7.963460067
126,X32,0,8.145549632
126,X33,0,8.29729437
126,X34,0,7.895808377
126,X35,1,8.336630088
126,X36,0,8.251924714
126,X37,0,7.948738455
126,X38,1,7.763871288
126,X39,0,8.715716128
126,X40,0,8.000684785
127,X1,0,8.404024493
127,X2,0,8.045908742
127,X3,1,7.842278779
127,X4,1,6.559615237
127,X5,1,6.658011046
127,X6,0,7.38832786
127,X7,0,6.687108608
127,X8,1,6.601230119
127,X9,0,6.570882962
127,X10,0,7.268223021
127,X11,1,7.19142933
127,X12,0,7.688913337
127,X13,1,7.857093865
127,X14,1,7.335633982
127,X15,1,6.685860947
127,X16,1,7.973844376
127,X17,0,7.171656823
127,X18,0,7.393263095
127,X19,1,8.02486215
127,X20,0,8.077447149
127,X21,0,8.203577737
127,X22,1,7.972121129
127,X23,1,7.333023014
127,X24,1,5.638354669
127,X25,1,6.487684018
127,X26,0,7.737616283
127,X27,0,6.510258341
127,X28,1,6.458338283
127,X29,1,6.635946556
127,X30,1,8.417372856
127,X31,0,6.941190055
127,X32,1,6.263398263
127,X33,0,6.50578406
127,X34,1,5.966146739
127,X35,1,6.447305863
127,X36,0,6.37331979
127,X37,1,6.498282149
127,X38,0,6.595780514
127,X39,0,7.239932591
127,X40,0,8.071530894
128,X1,1,8.719480761
128,X2,1,8.344505084
128,X3,1,8.568266462
128,X4,1,9.247925132
128,X5,0,8.1285852
128,X6,1,8.390722527
128,X7,0,8.467792841
128,X8,1,8.293799609
128,X9,1,8.399984991
128,X10,0,8.500860537
128,X11,0,8.902455592
128,X12,0,8.692490133
128,X13,1,8.212568398
128,X14,1,9.066816362
128,X15,0,8.335191583
128,X16,1,8.487764381
128,X17,0,8.495969555
128,X18,1,8.689801056
128,X19,1,8.590815331
128,X20,0,8.806723555
128,X21,1,8.881558489
128,X22,1,7.984462732
128,X23,1,8.265392931
128,X24,0,8.192570471
128,X25,0,9.122601458
128,X26,1,8.289790583
128,X27,1,8.430109085
128,X28,0,8.680501809
128,X29,0,7.95927596
128,X30,1,9.061144066
128,X31,1,8.372398607
128,X32,0,8.510369966
128,X33,1,7.97590836
128,X34,1,8.186185994
128,X35,1,8.548304186
128,X36,1,9.567595148
128,X37,1,8.037866235
128,X38,1,9.005895898
128,X39,1,8.095293777
128,X40,1,8.48941081
129,X1,1,8.70383872
129,X2,1,8.738895705
129,X3,0,8.153637486
129,X4,0,8.750524669
129,X5,0,8.093156698
129,X6,0,9.208137948
129,X7,1,8.750207863
129,X8,1,8.697846691
129,X9,1,8.206310726
129,X10,0,8.074026216
129,X11,0,8.774622221
129,X12,1,7.942006808
129,X13,1,8.061486867
129,X14,1,8.458928283
129,X15,1,8.356554845
129,X16,1,8.609590041
129,X17,0,8.809265612
129,X18,1,8.280711076
129,X19,0,8.964567703
129,X20,1,8.887928819
129,X21,0,9.673696959
129,X22,1,8.216628493
129,X23,0,8.399310151
129,X24,1,8.255568653
129,X25,1,8.243808424
129,X26,0,8.16251625
129,X27,1,8.397508348
129,X28,0,8.404919949
129,X29,1,8.346879254
129,X30,1,8.793915424
129,X31,0,7.957877358
129,X32,0,8.35678967
129,X33,0,8.186742787
129,X34,1,8.085794701
129,X35,1,8.214735833
129,X36,1,8.073402969
129,X37,1,8.135053909
129,X38,0,8.478244441
129,X39,0,8.397508348
129,X40,1,8.028781162
130,X1,0,8.003363059
130,X2,1,7.074963198
130,X3,0,7.299121463
130,X4,0,6.693323668
130,X5,0,7.40671073
130,X6,0,6.814542897
130,X7,1,6.495265556
130,X8,1,6.988413182
130,X9,0,7.005789019
130,X10,0,7.899153483
130,X11,0,6.839476438
130,X12,0,7.695303135
130,X13,1,7.945555428
130,X14,0,7.25981961
130,X15,0,7.925880317
130,X16,1,6.632001777
130,X17,0,6.914730893
130,X18,0,7.075808864
130,X19,1,7.984121959
130,X20,0,5.545177444
130,X21,1,6.663132696
130,X22,1,6.865891075
130,X23,1,7.494430215
130,X24,0,6.938284484
130,X25,1,7.055312843
130,X26,1,6.354370041
130,X27,1,6.520621128
130,X28,1,6.421622268
130,X29,1,6.721425701
130,X30,1,6.857514063
130,X31,0,6.588926478
130,X32,1,6.621405652
130,X33,0,6.760414691
130,X34,0,7.551186867
130,X35,0,6.952728645
130,X36,1,7.140453043
130,X37,1,6.805722553
130,X38,1,7.546446274
130,X39,0,6.874198495
130,X40,1,6.661854741
131,X1,1,8.952475968
131,X2,1,7.984462732
131,X3,1,8.058327307
131,X4,1,8.234034208
131,X5,0,7.919719761
131,X6,1,8.504107952
131,X7,0,8.261268151
131,X8,1,8.553332238
131,X9,1,8.279443488
131,X10,0,8.100464891
131,X11,1,8.02975852
131,X12,1,8.060540047
131,X13,1,8.532869671
131,X14,0,8.59396903
131,X15,0,8.332789468
131,X16,0,8.083019919
131,X17,0,8.876125585
131,X18,0,7.93701749
131,X19,1,7.862882035
131,X20,1,7.809135398
131,X21,1,8.48941081
131,X22,0,8.248790734
131,X23,1,8.170468578
131,X24,1,7.792761721
131,X25,0,8.236155662
131,X26,0,7.596392304
131,X27,1,7.786136438
131,X28,1,8.165932137
131,X29,0,8.633196867
131,X30,0,7.542743545
131,X31,1,7.184629153
131,X32,0,7.555381944
131,X33,0,7.76937861
131,X34,0,8.087947555
131,X35,1,7.60090246
131,X36,0,7.872836175
131,X37,0,7.288244401
131,X38,1,7.922623574
131,X39,0,7.710205194
131,X40,0,8.410720947
132,X1,0,8.82511897
132,X2,1,8.160232492
