subj_idx,trial,response,rt
254,X1,0,8.703174709
254,X10,0,8.801017834
254,X11,1,8.324821299
254,X12,1,8.870101049
254,X13,1,8.585785983
254,X14,1,8.399984991
254,X15,0,8.357728417
254,X16,1,8.418918622
254,X17,0,8.390722527
254,X18,0,8.464846711
254,X19,1,8.761550139
254,X2,1,8.501470231
254,X20,0,7.916807491
254,X21,1,8.161945799
254,X22,1,8.382747095
254,X23,0,8.748622322
254,X24,1,8.699514748
254,X25,1,8.133880888
254,X26,1,8.313361951
254,X27,1,8.568836425
254,X28,1,8.152198016
254,X29,1,8.635331719
254,X3,0,8.374707543
254,X30,0,8.132118773
254,X31,1,8.935245415
254,X32,0,8.42463921
254,X33,0,8.191186005
254,X34,0,8.651024539
254,X35,0,8.712266432
254,X36,0,8.896588072
254,X37,0,8.174702882
254,X38,0,8.655562861
254,X39,1,8.651374373
254,X4,1,8.298539545
254,X40,1,8.26178468
254,X5,0,8.478660242
254,X6,0,8.419359831
254,X7,0,9.127284797
254,X8,0,8.749573948
254,X9,1,8.200837258
255,X1,0,9.904986429
255,X10,1,8.188133415
255,X11,0,12.15313062
255,X12,1,8.231908244
255,X13,0,8.694167142
255,X14,1,9.128370809
255,X15,1,8.542080907
255,X16,0,10.36715867
255,X17,0,10.1243485
255,X18,0,8.137980454
255,X19,1,11.05999132
255,X2,1,8.919319398
255,X20,0,9.658992675
255,X21,1,11.05510334
255,X22,1,11.69168234
255,X23,1,9.932172186
255,X24,0,9.946020083
255,X25,1,8.799661697
255,X26,1,7.781973234
255,X27,0,9.191157553
255,X28,1,9.903937451
255,X29,0,9.994515851
255,X3,0,8.028781162
255,X30,1,8.556798446
255,X31,0,9.841239739
255,X32,1,8.73777346
255,X33,1,9.587954552
255,X34,1,9.675959403
255,X35,0,10.48313003
255,X36,1,10.71237123
255,X37,1,9.608579435
255,X38,1,10.08451661
255,X39,0,9.201602306
255,X4,0,9.208438565
255,X40,0,8.557759153
255,X5,1,10.93332123
255,X6,0,10.51888938
255,X7,1,7.789454566
255,X8,1,8.151909873
255,X9,0,10.98941979
256,X1,0,9.403272108
256,X10,0,9.40820714
256,X11,0,8.463581422
256,X12,1,9.260748275
256,X13,1,7.990238186
256,X14,0,10.01189343
256,X15,1,8.649799156
256,X16,0,8.649273532
256,X17,1,8.313607139
256,X18,0,10.56374991
256,X19,0,8.992681751
256,X2,1,9.040974526
256,X20,0,8.920121752
256,X21,0,9.179674958
256,X22,0,9.321881747
256,X23,0,8.690137586
256,X24,1,8.479698987
256,X25,0,7.917900586
256,X26,1,9.020389788
256,X27,1,8.95312284
256,X28,0,8.904358542
256,X29,0,8.823353485
256,X3,0,9.184099061
256,X30,0,8.617943095
256,X31,1,10.27367085
256,X32,1,8.862058677
256,X33,1,8.550241045
256,X34,1,8.263332667
256,X35,0,8.561210077
256,X36,0,8.397733751
256,X37,0,9.021839764
256,X38,0,8.099554282
256,X39,0,9.598998362
256,X4,1,8.496582238
256,X40,0,8.602820277
256,X5,1,8.803273983
256,X6,1,8.918650278
256,X7,0,8.525359754
256,X8,1,9.066470002
256,X9,1,8.236155662
257,X1,1,8.49023301
257,X10,0,8.574329383
257,X11,0,7.03438793
257,X12,0,8.07184315
257,X13,0,7.74586823
257,X14,0,7.43366654
257,X15,1,7.659642955
257,X16,0,7.238496841
257,X17,0,7.163946684
257,X18,1,7.686162303
257,X19,1,7.329749689
257,X2,1,7.908754739
257,X20,1,7.565275282
257,X21,0,7.830822995
257,X22,1,7.661997559
257,X23,1,9.389741
257,X24,0,9.010913347
257,X25,0,8.894258825
257,X26,0,7.183870715
257,X27,0,7.43366654
257,X28,1,8.027802848
257,X29,1,7.271008538
257,X3,0,7.789454566
257,X30,1,8.082402254
257,X31,1,7.767687277
257,X32,1,7.792761721
257,X33,0,7.112327445
257,X34,1,7.489970899
257,X35,1,8.085794701
257,X36,0,7.34536484
257,X37,0,7.632401127
257,X38,0,7.773594467
257,X39,1,7.171656823
257,X4,0,8.858226439
257,X40,1,7.551712215
257,X5,0,7.611347717
257,X6,0,7.809947086
257,X7,0,8.542665987
257,X8,1,7.723120092
257,X9,1,7.455876687
258,X1,1,8.747193184
258,X10,1,7.947325027
258,X11,0,8.182838711
258,X12,0,10.63830437
258,X13,1,8.461680481
258,X14,1,7.636269603
258,X15,1,8.307212627
258,X16,1,8.356554845
258,X17,1,8.112827479
258,X18,1,8.121183242
258,X19,1,8.348301055
258,X2,0,8.752581469
258,X20,1,7.933079772
258,X21,0,9.060331105
